year	borough	data	GBP
1995	Barking and Dagenham	averageHousePrice	50165
1995	Barking and Dagenham	averageSalary	15000
1996	Barking and Dagenham	averageHousePrice	51680
1996	Barking and Dagenham	averageSalary	15300
1997	Barking and Dagenham	averageHousePrice	56222
1997	Barking and Dagenham	averageSalary	15830
1998	Barking and Dagenham	averageHousePrice	63874
1998	Barking and Dagenham	averageSalary	16000
1999	Barking and Dagenham	averageHousePrice	69544
1999	Barking and Dagenham	averageSalary	16200
2000	Barking and Dagenham	averageHousePrice	84111
2000	Barking and Dagenham	averageSalary	18100
2001	Barking and Dagenham	averageHousePrice	94451
2001	Barking and Dagenham	averageSalary	18600
2002	Barking and Dagenham	averageHousePrice	118795
2002	Barking and Dagenham	averageSalary	19100
2003	Barking and Dagenham	averageHousePrice	145661
2003	Barking and Dagenham	averageSalary	18000
2004	Barking and Dagenham	averageHousePrice	163828
2004	Barking and Dagenham	averageSalary	19400
2005	Barking and Dagenham	averageHousePrice	169663
2005	Barking and Dagenham	averageSalary	20600
2006	Barking and Dagenham	averageHousePrice	175139
2006	Barking and Dagenham	averageSalary	20600
2007	Barking and Dagenham	averageHousePrice	192859
2007	Barking and Dagenham	averageSalary	21300
2008	Barking and Dagenham	averageHousePrice	196942
2008	Barking and Dagenham	averageSalary	22000
2009	Barking and Dagenham	averageHousePrice	166483
2009	Barking and Dagenham	averageSalary	23100
2010	Barking and Dagenham	averageHousePrice	179018
2010	Barking and Dagenham	averageSalary	22500
2011	Barking and Dagenham	averageHousePrice	180165
2011	Barking and Dagenham	averageSalary	22800
2012	Barking and Dagenham	averageHousePrice	181471
2012	Barking and Dagenham	averageSalary	23700
2013	Barking and Dagenham	averageHousePrice	187943
2013	Barking and Dagenham	averageSalary	24600
2014	Barking and Dagenham	averageHousePrice	215810
2014	Barking and Dagenham	averageSalary	25500
2015	Barking and Dagenham	averageHousePrice	244126
2015	Barking and Dagenham	averageSalary	25900
2016	Barking and Dagenham	averageHousePrice	289176
2016	Barking and Dagenham	averageSalary	26700
2017	Barking and Dagenham	averageHousePrice	301518
2017	Barking and Dagenham	averageSalary	27400
2018	Barking and Dagenham	averageHousePrice	310000
2018	Barking and Dagenham	averageSalary	28800
2019	Barking and Dagenham	averageHousePrice	321111
2019	Barking and Dagenham	averageSalary	29400
2020	Barking and Dagenham	averageHousePrice	333000
2020	Barking and Dagenham	averageSalary	30800
2021	Barking and Dagenham	averageHousePrice	345000
2021	Barking and Dagenham	averageSalary	31800
1995	Barnet	averageHousePrice	111019
1995	Barnet	averageSalary	22000
1996	Barnet	averageHousePrice	111203
1996	Barnet	averageSalary	23510
1997	Barnet	averageHousePrice	135580
1997	Barnet	averageSalary	24650
1998	Barnet	averageHousePrice	147673
1998	Barnet	averageSalary	25000
1999	Barnet	averageHousePrice	173356
1999	Barnet	averageSalary	26800
2000	Barnet	averageHousePrice	199147
2000	Barnet	averageSalary	30800
2001	Barnet	averageHousePrice	220955
2001	Barnet	averageSalary	30400
2002	Barnet	averageHousePrice	257942
2002	Barnet	averageSalary	32300
2003	Barnet	averageHousePrice	284178
2003	Barnet	averageSalary	33900
2004	Barnet	averageHousePrice	306902
